Unnamed: 0,RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
40,79.0,72.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9AF76E6F177D19C3F201AAB47D16CC4?id=1994GRO/GRO1099-1105:2,1.0,2.4,-4,,(CH3)2CHCH2C(O)OONO2,,,(CH3)2CHCH2C(O)OO(.),NO2,,"298
 
K",1.0
41,80.0,73.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9BBD4AEB518A43DDEAC6CA20886B7B04?id=1994GRO/GRO1099-1105:1,1.0,1.8,-4,,n-C4H9C(O)OONO2,,,CH3CH2CH2CH2C(O)OO(.),NO2,,"298
 
K",1.0
47,87.0,79.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=71E7A361C94ED1AF9B56D73749D1A025?id=2001ATK/BAU1-56:385,2.0,2,-12,,CF3CF2OO(.),CF3CF2OO(.),,O2,CF3OCF2(.),CF3OCF2(.),"298
 
K",2.0
48,88.0,79.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=71E7A361C94ED1AF9B56D73749D1A025?id=1997ATK/BAU521-1011:468,2.0,2.01,-12,,CF3CF2OO(.),CF3CF2OO(.),,O2,CF3OCF2(.),CF3OCF2(.),"298
 
K",2.0
50,91.0,82.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=735CB8D11377CF4EA99D8058BBFB95F0?id=2010SIN/MIS57-64:1,1.0,6.7,6,,CF3CCl2O(.),,,COCl2,(.)CF3,,"298
 
K",1.0
52,93.0,84.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4867360DE565BE15582AB6B2340EB628?id=2009SIN/MIS1096-1101:1,1.0,5.1,4,,CF3CFClO(.),,,COClF,(.)CF3,,"298
 
K",1.0
53,94.0,85.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2FA9C9D49610CBE86316EF8CF5146F69?id=1994MOG/NIE375-380:2,1.0,1.3,-2,,CF3CFHOONO2,,,NO2,CF3CFHO2(.),,"296
 
K",1.0
60,103.0,91.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=184F5E86378EE4DDA206D984F12E7EE4?id=2004LEC/VIL795-805:34,2.0,1.44,-11,,(CH3)2CHC(O)O2,(CH3)2CHC(O)O2,,O2,(CH3)2CHC(O)O(.),(CH3)2CHC(O)O(.),"296
 
K",2.0
64,112.0,99.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2004JOH/CAS519-523:4,1.0,7.6,24,-29350,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,,264,1.0
65,113.0,99.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2003MER/RAY4828-4833:3,1.0,2.4,12,-38911,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,,"298
 
K",1.0
66,114.0,99.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2003MER/RAY4828-4833:17,1.0,3.3,5,,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,,"298
 
K",1.0
67,115.0,99.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2003MER/RAY4828-4833:18,1.0,3.1,3,,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,,"220
 
K",1.0
68,116.0,99.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2003MER/RAY4828-4833:39,1.0,3.1,3,,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,,"220
 
K",1.0
69,119.0,101.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=565FB0F1CECB79379809429F9D657143?id=2000MER/RAY3765-3772:21,1.0,4.67,1,,CH3CH(O.)CH2CH2CH3,,,CH3CH2CH2CHO,(.)CH3,,"298
 
K",1.0
70,120.0,101.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=565FB0F1CECB79379809429F9D657143?id=2000MER/RAY3765-3772:22,1.0,4.67,1,,CH3CH(O.)CH2CH2CH3,,,CH3CH2CH2CHO,(.)CH3,,"298
 
K",1.0
71,121.0,102.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A50DC16CAEDEF7CF8CA3510F32D0E74D?id=2000MER/RAY3765-3772:24,1.0,2.2,4,,CH3CH(O.)CH2CH2CH3,,,CH3CHO,1-C3H7,,"298
 
K",1.0
72,122.0,102.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A50DC16CAEDEF7CF8CA3510F32D0E74D?id=2000MER/RAY3765-3772:23,1.0,2.6,4,,CH3CH(O.)CH2CH2CH3,,,CH3CHO,1-C3H7,,"298
 
K",1.0
73,124.0,104.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=3F9EA40643F35B07E42523B21058F172?id=2004JOH/CAS519-523:1,1.0,9.2,10,-30500,CH3CH(O.)CH2CH2CH3,,,(.)CH2CH2CH2CH(OH)CH3,,,264,1.0
74,127.0,107.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7C05BB3E4C57C274CE0125EE6885A285?id=1995LON/WAN12810-12818:2,1.0,1,10,,Fe(CO)3(η2-CH3CH=CH2),,,HFe(3)CO(η3-CH2CH=CH2),,,"296
 
K",1.0
75,128.0,108.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F3A525F390A9BC088966C6D3FFA103B8?id=1996MAR/SZE4514-4520:3,2.0,3.7,-12,2245,CF3C(O)OO(.),CF3C(O)OO(.),,O2,CF3C(O)O,CF3C(O)O,210,2.0
76,129.0,109.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1994RAT/ROW1819-1829:2,1.0,7.4,11,-39244,CF3CFHO,,,HFCO,(.)CF3,,235,1.0
77,130.0,109.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2003WU/CAR10733-10742:3,2.0,1.01,-7,-33906,CF3CFHO,,,HFCO,(.)CF3,,259,2.0
78,131.0,109.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2001SOM/ZEL2352-2364:10,2.0,1.1,-6,-46370,CF3CFHO,,,HFCO,(.)CF3,,200,2.0
79,132.0,109.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1996WAL/HUR18116-18122:3,2.0,1.02,1,,CF3CFHO,,,HFCO,(.)CF3,,"295
 
K",2.0
80,133.0,109.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2003WU/CAR10733-10742:4,1.0,5.9,13,-43734,CF3CFHO,,,HFCO,(.)CF3,,259,1.0
81,134.0,109.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2001SOM/ZEL2352-2364:5,1.0,3.82,13,-53329,CF3CFHO,,,HFCO,(.)CF3,,200,1.0
82,135.0,109.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2001SOM/ZEL2352-2364:6,1.0,9.58,12,-51217,CF3CFHO,,,HFCO,(.)CF3,,200,1.0
83,136.0,109.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2001SOM/ZEL2352-2364:7,1.0,3.99,12,-50045,CF3CFHO,,,HFCO,(.)CF3,,200,1.0
84,137.0,109.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2001SOM/ZEL2352-2364:8,1.0,3.52,12,-49879,CF3CFHO,,,HFCO,(.)CF3,,200,1.0
85,138.0,109.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2001SOM/ZEL2352-2364:9,1.0,7.61,11,-48149,CF3CFHO,,,HFCO,(.)CF3,,200,1.0
86,139.0,109.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1997MOG/SEH209-217:3,1.0,3.3,5,,CF3CFHO,,,HFCO,(.)CF3,,"296
 
K",1.0
87,140.0,109.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1996BED/BRE528-539:6,1.0,1.8,4,,CF3CFHO,,,HFCO,(.)CF3,,"295
 
K",1.0
88,141.0,109.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1992MAR/SZE10862-10868:7,1.0,3.7,7,-18292,CF3CFHO,,,HFCO,(.)CF3,,211,1.0
89,142.0,109.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1998SCH/WAL1850-1856:1,1.0,4.8,13,-47698,CF3CFHO,,,HFCO,(.)CF3,,"298
 
K",1.0
90,143.0,109.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1998HAS/MOO541-554:1,1.0,8.59,4,,CF3CFHO,,,HFCO,(.)CF3,,"298
 
K",1.0
91,144.0,109.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1997SEH/MOG673-682:10,1.0,1,3,,CF3CFHO,,,HFCO,(.)CF3,,"295
 
K",1.0
92,145.0,110.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=49B48032FF37A604E3189A41D44F93D5?id=2001KOR/BOL1516-1523:1,2.0,4.98,-12,-48070,HN(NO2)2-NH3,,,NH3,HN(NO2)2,,433,2.0
96,151.0,114.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=182E64FD7514A36A771B26650ACB0FD9?id=1992HOP/WAC711-721:5,1.0,1.95,10,-147998,CH2=C=CHCH(CH3)CH=CH2,,,CH#CCH2CH2CH=CHCH3-(Z)-,,,493,1.0
97,152.0,115.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BEBE1307C21AFA85328B8522DB57DC05?id=1992HOP/WAC711-721:4,1.0,2.51,10,-140515,CH2=C=CHCH(CH3)CH=CH2,,,"CH#CCH2CH2CH=CHCH3(E),-",,,493,1.0
102,159.0,122.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=907CCE462A657A4FF07B5AF7FEDA176C?id=2002HAW/BAC1533-1541:12,1.0,3.63,15,-440157,HOPO2,,,(.)OH,PO2,,1000,1.0
103,160.0,122.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=907CCE462A657A4FF07B5AF7FEDA176C?id=2002HAW/BAC1533-1541:14,1.0,2.57,18,-382836,HOPO2,,,(.)OH,PO2,,1000,1.0
104,161.0,122.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=907CCE462A657A4FF07B5AF7FEDA176C?id=2002HAW/BAC1533-1541:13,1.0,9.16,-26,-506264,HOPO2,,,(.)OH,PO2,,1000,1.0
105,162.0,122.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=907CCE462A657A4FF07B5AF7FEDA176C?id=2002HAW/BAC1533-1541:11,1.0,2.01,18,-468608,HOPO2,,,(.)OH,PO2,,1000,1.0
106,163.0,123.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=DB509E10B70AE2217D450110607C635D?id=1993WAL/HUR442-448:4,1.0,3,-3,,CF3ONO2,,,NO2,CF3O,,"205
 
K",1.0
107,175.0,129.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=DC9E9DADD2C53A8303122D7B482DFADC?id=1997SEH/MOG673-682:9,2.0,3.16,-12,,CF3CFHO2(.),CF3CFHO2(.),,O2,CF3CFHO,CF3CFHO,"295
 
K",2.0
108,176.0,129.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=DC9E9DADD2C53A8303122D7B482DFADC?id=1992MAR/SZE10862-10868:5,2.0,5.99,-12,,CF3CFHO2(.),CF3CFHO2(.),,O2,CF3CFHO,CF3CFHO,"297
 
K",2.0
110,180.0,132.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4FB957347E243A0301F07EBF60D5DF86?id=1997SEH/MOG673-682:8,2.0,3.5,-13,,CF3CFHO2(.),CF3CFHO2(.),,CF3CFHOH,CF3COF,O2,"295
 
K",2.0
111,181.0,132.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4FB957347E243A0301F07EBF60D5DF86?id=1992MAR/SZE10862-10868:4,2.0,1,-12,,CF3CFHO2(.),CF3CFHO2(.),,CF3CFHOH,CF3COF,O2,"297
 
K",2.0
112,182.0,133.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9D711BA2791BA00545F27D4675F61532?id=1994HAY/JEN421-437:7,2.0,3.6,-12,,CF3CCl2OO(.),CF3CCl2OO(.),,O2,CF3CCl2O(.),CF3CCl2O(.),"98.00
 
K",2.0
