Unnamed: 0,RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
8461,11227.0,4817.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F4A45D0E6E366399441CA6AA1D2B5193?id=1981TAN/RUO1368:1,2.0,2.6,-1,,[None],[None],,[None],['BrC1(C(C(C(C1([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H])[2H]'],,"296
 
K",2.0
8463,11230.0,4820.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9DC94EEF2EDBC07F40E97BFDB115CB9?id=1998BED/LAV953-959:1,2.0,2.3,-10,-1122,[None],[None],,[None],[None],,233,2.0
8464,11231.0,4820.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9DC94EEF2EDBC07F40E97BFDB115CB9?id=1981BAU/DUX:71,2.0,1.66,-10,,[None],[None],,[None],[None],,"298
 
K",2.0
8465,11232.0,4820.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9DC94EEF2EDBC07F40E97BFDB115CB9?id=2010KHA/CRO575-585:3,2.0,1.94,-10,,[None],[None],,[None],[None],,"298
 
K",2.0
8466,11233.0,4820.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9DC94EEF2EDBC07F40E97BFDB115CB9?id=1991CHE204-212:3,2.0,9.51,-11,,[None],[None],,[None],[None],,"298
 
K",2.0
8467,11234.0,4820.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9DC94EEF2EDBC07F40E97BFDB115CB9?id=1990NIC/WIN379-397:2,2.0,2.41,-10,-1197,[None],[None],,[None],[None],,298,2.0
8468,11235.0,4820.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9DC94EEF2EDBC07F40E97BFDB115CB9?id=1975BEM/CLY1132-1144:1,2.0,1.91,-10,,[None],[None],,[None],[None],,"298
 
K",2.0
8469,11236.0,4820.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9DC94EEF2EDBC07F40E97BFDB115CB9?id=1972CLY/CRU1377:1,2.0,1.2,-10,,[None],[None],,[None],[None],,"298
 
K",2.0
8515,11285.0,4839.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=3588B4AADE65D83E5F6BD2DA9CAF77B4?id=1969GOL/NOY4003-4004:1,2.0,3.32,-22,,[None],[None],,[None],[None],,"300
 
K",2.0
8516,11286.0,4840.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FD0D0D5E4D4410296D6CD913F150F811?id=1981BAU/DUX:67,2.0,3.9,-10,-179593,[None],,,[None],[None],,1300,2.0
8517,11287.0,4840.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FD0D0D5E4D4410296D6CD913F150F811?id=1958CAM/FRI173:4,2.0,7.01,-9,-184581,[None],,,[None],[None],,300,2.0
8518,11288.0,4840.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FD0D0D5E4D4410296D6CD913F150F811?id=1972WES/GRE2713-2722:1,2.0,1.04,-5,-352534,[None],,,[None],[None],,1800,2.0
8519,11289.0,4840.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FD0D0D5E4D4410296D6CD913F150F811?id=1971WAR4060-4071:3,2.0,6.14,-12,-131369,[None],,,[None],[None],,1210,2.0
8520,11290.0,4840.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FD0D0D5E4D4410296D6CD913F150F811?id=1971WAR4060-4071:5,2.0,2.97,-12,-121391,[None],,,[None],[None],,1260,2.0
8521,11291.0,4840.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FD0D0D5E4D4410296D6CD913F150F811?id=1971WAR4060-4071:4,2.0,6.18,-12,-133863,[None],,,[None],[None],,1220,2.0
8522,11292.0,4840.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FD0D0D5E4D4410296D6CD913F150F811?id=1971WAR4060-4071:1,2.0,1.98,-11,-148829,[None],,,[None],[None],,1180,2.0
8523,11293.0,4840.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FD0D0D5E4D4410296D6CD913F150F811?id=1971WAR4060-4071:2,2.0,9.51,-12,-137189,[None],,,[None],[None],,1180,2.0
8524,11294.0,4840.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FD0D0D5E4D4410296D6CD913F150F811?id=1957PAL/HOR98-105:1,2.0,3.59,-8,-128043,[None],,,[None],[None],,1200,2.0
8525,11295.0,4840.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FD0D0D5E4D4410296D6CD913F150F811?id=1952COO/AND1402:3,2.0,3.55,-9,-189570,[None],,,[None],[None],,323,2.0
8654,11468.0,4887.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=913745E14077E8219225DF7D3D1E63D0?id=1998TEY/ALL2167-2178:9,2.0,,,-419049,['[Cl-].[Ti+3].[Cl-].[Cl-]'],,,[None],[None],,1000,2.0
8655,11469.0,4887.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=913745E14077E8219225DF7D3D1E63D0?id=1998TEY/ALL2167-2178:8,1.0,1.49,16,-422375,['[Cl-].[Ti+3].[Cl-].[Cl-]'],,,[None],[None],,1000,1.0
8933,11810.0,5009.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=EE861051E7AE44097BA01636FF4C4B80?id=1989ALK/HOM434-439:3,2.0,8.3,-11,,[None],[None],,[None],,,623,2.0
8935,11812.0,5011.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FF6173CE828474266F7AC1B09EAD0762?id=1989ALK/HOM434-439:2,2.0,1.33,-10,,[None],[None],,[None],,,623,2.0
9143,12098.0,5144.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F6F63794AEA2A232E3C644B2DEB2E1E5?id=1998TEY/ALL2167-2178:6,2.0,6.31,3,-387454,[None],,,['[Cl-].[Ti+3].[Cl-].[Cl-]'],[None],,1000,2.0
9144,12099.0,5144.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F6F63794AEA2A232E3C644B2DEB2E1E5?id=1998TEY/ALL2167-2178:5,1.0,2.96,17,-388286,[None],,,['[Cl-].[Ti+3].[Cl-].[Cl-]'],[None],,1000,1.0
9145,12100.0,5145.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BCE0451CC323DA82F8CEE89B595D2E2A?id=2012KRI/HEL1-9:2,3.0,1.36,-33,5030,['[Hg]Cl'],[None],,[None],,,298,3.0
9146,12101.0,5146.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2679D49DD38A20939C9A4671F2C78932?id=2009WIL6633-6639:4,2.0,1.2,-11,-49371,['[Hg]Cl'],[None],,[None],[None],,298,2.0
9149,12104.0,5149.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0D7486456A4D267A227053BEB19216DF?id=2012KRI/HEL1-9:6,2.0,7.46,-14,14251,['[Hg]Cl'],[None],,[None],[None],,298,2.0
