ID,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
289,2.9,-3,-119670,https://cactus.nci.nih.gov/chemical/structure/CCl2%3DCCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClC%E2%89%A1CCl/smiles,[None],
290,3.15,-3,-120535,https://cactus.nci.nih.gov/chemical/structure/CCl2%3DCCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClC%E2%89%A1CCl/smiles,[None],
291,1.36,10,-94577,https://cactus.nci.nih.gov/chemical/structure/CCl2%3DCCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClC%E2%89%A1CCl/smiles,[None],
292,1.81,10,-93089,https://cactus.nci.nih.gov/chemical/structure/CCl2%3DCCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClC%E2%89%A1CCl/smiles,[None],
293,5.37,9,-95650,https://cactus.nci.nih.gov/chemical/structure/CCl2%3DCCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClC%E2%89%A1CCl/smiles,[None],
294,7.1,13,-113285,https://cactus.nci.nih.gov/chemical/structure/CCl2%3DCCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClC%E2%89%A1CCl/smiles,[None],
295,7.03,9,-89846,https://cactus.nci.nih.gov/chemical/structure/CCl2%3DCCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClC%E2%89%A1CCl/smiles,[None],
296,5.73,9,-93272,https://cactus.nci.nih.gov/chemical/structure/CCl2%3DCCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClC%E2%89%A1CCl/smiles,[None],
310,3.2,13,-108920,https://cactus.nci.nih.gov/chemical/structure/CHCl2CH2%28.%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHCl/smiles,[None],
313,2.68,-2,-106575,https://cactus.nci.nih.gov/chemical/structure/ClClO/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClO/smiles,[None],
314,6.78,-7,-74481,https://cactus.nci.nih.gov/chemical/structure/ClClO/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClO/smiles,[None],
